ID WHO city,Region,iso3,Country,City/Town,"PM10 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"PM2.5 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality
107,Emr HI,BHR,Bahrain,Ras Hayan,250,2012,"1 station, 1 Rural background station",measured data,44,2012,"1 station, 1 Rural background station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
108,Sear,BGD,Bangladesh,Barisal,142,2014,"1 station, NA",measured data,85,2014,"1 station, NA",measured data,PM10: >75%; PM2.5:>75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
109,Sear,BGD,Bangladesh,Chittagong,135,2014,"2 stations, NA",measured data,95,2014,"2 stations, NA",measured data,PM10: <75 % but annually representative; PM2.5:<75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
110,Sear,BGD,Bangladesh,Dhaka,158,2014,"3 stations, NA",measured data,90,2014,"4 stations, NA",measured data,PM10: <75 % but annually representative; PM2.5:<75 % but annually representative,"Ministry of Environment and Forests, Clean Air and Sustainable Environment; http://spartan-network.org/"
111,Sear,BGD,Bangladesh,Gazipur,155,2014,"1 station, NA",measured data,89,2014,"1 station, NA",measured data,PM10: >75%; PM2.5:>75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
112,Sear,BGD,Bangladesh,Khulna,109,2014,"1 station, NA",measured data,61,2014,"1 station, NA",measured data,PM10: <75%; PM2.5:<75%,"Policy impact on air quality in major metropolitan cities in Bangladesh, B.A. Begum, Md. Nasiruddin, P.K. Hopke, A. Markwitz, The African Review of Physics (in press, 2015)."
113,Sear,BGD,Bangladesh,Narayangonj,191,2014,"1 station, NA",measured data,106,2014,"1 station, NA",measured data,PM10: >75%; PM2.5:>75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
114,Sear,BGD,Bangladesh,Rajshahi,64,2014,"1 station, NA",measured data,37,2014,-,converted from PM10,PM10: <75%; PM2.5:NA,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
115,Sear,BGD,Bangladesh,Sylhet,170,2014,"1 station, NA",measured data,61,2014,"1 station, NA",measured data,PM10: <75%; PM2.5:<75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
116,Eur HI,BEL,Belgium,AARSCHOT,23,2013,"1 station, background, suburban",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
