nbhd_code,DEM_all
amsterdam_084,3.479325477
amsterdam_036,-0.894705166
amsterdam_037,-1.347301298
amsterdam_035,2.614896836
amsterdam_040,0.801818897
amsterdam_085,1.020401807
amsterdam_006,7.736023326
amsterdam_088,3.08929535
amsterdam_078,4.422968666
amsterdam_079,6.244405087
amsterdam_090,3.502887563
amsterdam_082,4.07631638
amsterdam_081,2.560820597
amsterdam_092,1.583809935
amsterdam_087,1.482189027
amsterdam_091,-0.364507079
amsterdam_086,3.123172445
amsterdam_080,2.344477297
amsterdam_069,3.514823587
amsterdam_010,4.990916755
amsterdam_009,6.54834524
amsterdam_065,6.338626572
amsterdam_067,4.795931284
amsterdam_068,4.758386594
amsterdam_070,2.988752903
amsterdam_075,-0.138088349
amsterdam_076,1.624035854
amsterdam_074,1.635604619
amsterdam_066,5.769324354
amsterdam_064,5.741938625
amsterdam_077,2.32437505
amsterdam_059,5.352800893
amsterdam_058,4.717342037
amsterdam_063,5.421121191
amsterdam_050,6.057060302
amsterdam_049,7.081262653
amsterdam_057,6.124719267
amsterdam_048,8.566253883
amsterdam_008,7.217708112
amsterdam_004,10.51358261
amsterdam_005,7.181931597
amsterdam_002,11.61754819
amsterdam_001,10.58766684
amsterdam_003,9.252337618
amsterdam_007,5.933039577
amsterdam_056,5.665714207
amsterdam_060,6.131447131
amsterdam_062,4.58437357
amsterdam_093,0.148209725
amsterdam_097,1.399340799
amsterdam_094,3.259648256
amsterdam_095,1.97947699
amsterdam_099,-0.096076488
amsterdam_096,1.760589706
amsterdam_098,1.173014919
amsterdam_073,0.055191
amsterdam_072,0
amsterdam_071,0.00700935
london_031,26.99360205
london_026,28.36435823
london_016,27.74261404
london_001,10.94274689
london_025,7.396605187
london_030,13.64330516
london_011,38.25290677
london_023,33.61714645
london_003,32.51755821
london_005,99.09319086
london_008,99.38193845
paris_012,52.85351786
paris_016,50.4504974
paris_019,70.0963257
paris_018,63.93203071
paris_020,87.20684918
paris_011,52.16389545
paris_010,56.25432412
paris_003,47.3356545
paris_004,44.08677556
paris_002,51.00694143
paris_009,57.35233319
paris_001,48.7238963
paris_006,52.64711669
paris_007,44.24425399
paris_008,52.38171604
paris_017,49.06663206
paris_015,47.13760238
paris_014,70.90203754
paris_013,52.24218627
paris_005,51.63381629
london_021,30.61081513
london_029,62.37031981
london_028,23.80531946
london_022,34.90995687
london_007,32.06175819
london_032,24.36044315
london_033,30.83263252
london_006,59.57125049
london_020,19.4397558
london_013,12.34764017
london_024,27.933665
london_027,17.58945271
london_018,21.02591311
london_009,32.40572873
london_004,47.31101497
london_002,81.28088674
london_015,73.05126058
london_017,44.5778586
london_010,42.06411887
london_014,43.73090745
london_019,37.49109671
london_012,22.07581654
montreal_13,17.22071836
montreal_27,26.46866287
montreal_2,41.21624505
montreal_5,23.58490495
montreal_17,10.83430571
montreal_7,20.11745811
montreal_33,99.53428562
montreal_3,75.81572242
montreal_28,46.10621397
montreal_4,31.04458236
montreal_24,27.90796928
montreal_34,19.74205876
montreal_22,48.18508743
montreal_25,53.61512968
montreal_29,49.03816558
montreal_15,34.85495924
montreal_1,27.62006079
montreal_19,44.83751323
montreal_11,90.69235799
montreal_14,55.06917122
montreal_6,56.10271164
montreal_18,39.98292463
montreal_9,23.41651067
montreal_16,39.72860373
montreal_10,24.04092916
montreal_12,26.1756769
montreal_8,27.72158545
montreal_32,25.45889297
montreal_31,36.54996183
montreal_20,32.34638594
montreal_21,26.06485663
montreal_26,42.10286937
montreal_23,34.10748701
montreal_30,30.05536583
vancouver_039,55.74138195
vancouver_040,28.2212562
vancouver_041,35.00653373
vancouver_042,44.21035101
vancouver_035,16.92683778
vancouver_034,11.3018221
vancouver_030,6.741422801
vancouver_106,12.77315192
vancouver_033,31.19978038
vancouver_036,31.24957271
vancouver_037,47.96163532
vancouver_038,49.19431512
vancouver_043,60.36157557
vancouver_044,56.38601673
vancouver_071,43.61143853
vancouver_047,35.79166582
vancouver_046,8.162570969
vancouver_045,10.25671539
vancouver_090,32.9569779
vancouver_073,48.09094175
vancouver_077,47.49075425
vancouver_068,33.97499684
vancouver_078,55.29274639
vancouver_066,43.72727237
vancouver_049,9.144678018
vancouver_022,20.62084514
vancouver_023,26.26166875
vancouver_029,9.435583173
vancouver_104,21.56497993
vancouver_024,38.60003502
vancouver_015,54.28856572
vancouver_014,18.7219059
vancouver_012,13.18890297
vancouver_013,19.01035669
vancouver_011,11.15196327
vancouver_018,20.71510424
vancouver_017,22.85334132
vancouver_019,23.87806496
vancouver_016,45.94314984
vancouver_020,42.01122423
vancouver_021,37.08976565
vancouver_050,12.18045248
vancouver_051,8.081399052
vancouver_052,16.12133537
vancouver_055,13.98903197
vancouver_054,19.06730152
vancouver_059,21.65852598
vancouver_056,23.23958583
vancouver_058,82.26364736
vancouver_086,77.08464883
vancouver_057,49.30802275
vancouver_085,35.85196759
vancouver_084,35.35043312
vancouver_088,74.83980055
vancouver_087,71.58097049
vancouver_114,26.21323139
vancouver_113,21.30462602
vancouver_116,27.70179909
vancouver_115,63.86632841
vancouver_112,79.82678465
vancouver_082,78.8469508
